"especie","key"
"Adelophryne glandulata",8474090
"Adelophryne sp.",0
"Adenomera andreae",5217548
"Adenomera marmorata",5217565
"Adenomera nana",0
"Adenomera sp.",0
"Allobates olfersioides",2426337
"Allobates sp.",0
"Amazophrynella manaos",9287104
"Ameerega braccata",2429036
"Ameerega flavopicta",2429020
"Aparasphenodon brunoi",2428622
"Aplastodiscus arildae",2427343
"Aplastodiscus cavicola",2427363
"Aplastodiscus eugenioi",2427358
"Aplastodiscus leucopygius",2427349
"Aplastodiscus perviridis",2427353
"Aplastodiscus sp.",0
"Aplastodiscus weygoldti",2427351
"Arcovomer passarellii",2421686
"Arcovomer sp.",0
"Barycholos ternetzi",2425908
"Boana albomarginata",0
"Boana albopunctata",0
"Boana atlantica",0
"Boana bischoffi",0
"Boana crepitans",0
"Boana faber",0
"Boana lundii",2428857
"Boana pardalis",0
"Boana polytaenia",0
"Boana pombali",0
"Boana pulchella",0
"Boana raniceps",0
"Boana semilineata",2428764
"Boana sp.",0
"Bokermannohyla caramaschii",2428041
"Bokermannohyla circumdata",2428044
"Bokermannohyla ibitipoca",2428051
"Bokermannohyla luctuosa",2428055
"Bokermannohyla sp.",0
"Brachycephalus alipioi",5217418
"Brachycephalus ephippium",5217425
"Caecilia sp.",0
"Ceratophrys aurita",2424451
"Ceratophrys sp.",0
"Chiasmocleis albopunctata",2421914
"Chiasmocleis capixaba",2421932
"Chiasmocleis carvalhoi",2421916
"Chiasmocleis lacrimae",0
"Chiasmocleis schubarti",2421925
"Chiasmocleis shudikarensis",2421913
"Chiasmocleis sp.",0
"Colostethus sp.",0
"Corythomantis greeningi",2428282
"Crossodactylodes bokermanni",2424443
"Crossodactylodes izecksohni",2424445
"Crossodactylodes sp.",0
"Crossodactylus dispar",2429870
"Crossodactylus gaudichaudii",2429868
"Crossodactylus sp.",0
"Crossodactylus timbuhy",9188884
"Cycloramphus juimirim",2424361
"Cycloramphus sp.",0
"Dasypops schirchi",2422064
"Dendrophryniscus carvalhoi",2422261
"Dendrophryniscus sp.",0
"Dendropsophus anceps",2428545
"Dendropsophus berthalutzae",2428418
"Dendropsophus bipunctatus",2428522
"Dendropsophus branneri",2428401
"Dendropsophus bromeliaceus",8768680
"Dendropsophus decipiens",2428512
"Dendropsophus elegans",2428392
"Dendropsophus giesleri",2428428
"Dendropsophus haddadi",2428535
"Dendropsophus meridianus",2428537
"Dendropsophus microcephalus",2428504
"Dendropsophus microps",2428475
"Dendropsophus minimus",2428442
"Dendropsophus minutus",2428549
