"especie","key"
"Abeillia abeillei",2476145
"Aburria jacutinga",2482302
"Accipiter bicolor",2480599
"Accipiter poliogaster",2480597
"Accipiter striatus",9600371
"Acrochordopus burmeisteri",0
"Actitis macularius",2481798
"Adelomyia melanogenys",2476168
"Agelasticus cyanopus",2484199
"Aglaeactis cupripennis",2476308
"Aglaiocercus coelestis",2476385
"Aglaiocercus kingii",2476388
"Amaurolimnas concolor",2474448
"Amazilia amabilis",2476510
"Amazilia amazilia",2476457
"Amazilia beryllina",2476500
"Amazilia brevirostris",2476512
"Amazilia candida",2476447
"Amazilia chionogaster",2476487
"Amazilia chionopectus",2476512
"Amazilia cyanifrons",2476440
"Amazilia cyanocephala",2476518
"Amazilia fimbriata",2476422
"Amazilia franciae",2476474
"Amazilia lactea",2476466
"Amazilia leucogaster",2476437
"Amazilia rondoniae",2476470
"Amazilia rosembergi",2476431
"Amazilia saucerrottei",2476478
"Amazilia sp.",0
"Amazilia tobaci",2476409
"Amazilia tzacatl",2476441
"Amazilia versicolor",2476493
"Amazilia viridigaster",2476490
"Amazona aestiva",2479662
"Amazona amazonica",2479666
"Amazona farinosa",2479606
"Amazona rhodocorytha",2479660
"Amazona vinacea",2479617
"Amazonetta brasiliensis",2498411
"Ammodramus humeralis",2491303
"Anabacerthia amaurotis",2485689
"Anabacerthia lichtensteini",7870692
"Anabazenops fuscus",2485495
"Anas bahamensis",2498090
"Androdon aequatorialis",2476330
"Anhima cornuta",2497983
"Anisognathus igniventris",5230541
"Anthracothorax dominicus",2476715
"Anthracothorax mango",2476713
"Anthracothorax nigricollis",2476718
"Anthracothorax prevostii",2476722
"Anthus lutescens",2490248
"Anthus sp.",0
"Antilophia galeata",2487617
"Aphantochroa cirrochloris",2476366
"Ara ararauna",5959231
"Ara chloropterus",5959225
"Aramides cajanea",2474659
"Aramides mangle",2474670
"Aramides saracura",2474658
"Aramus guarauna",2474337
"Aratinga aurea",2479121
"Aratinga leucophthalma",2479115
"Archilochus alexandri",5228513
"Archilochus colubris",5228514
"Ardea alba",7913436
"Ardea cocoi",2480951
"Arenaria interpres",2481776
"Arremon taciturnus",2491614
"Arundinicola leucocephala",2482671
"Athene cunicularia",2497254
"Attila rufus",2483642
"Attila sp.",0
"Attila spadiceus",2483629
"Augastes lumachella",2476276
"Augastes scutatus",2476272
"Automolus leucophthalmus",5230242
"Baillonius bailloni",2478844
"Baryphthengus ruficapillus",2475269
"Basileuterus culicivorus",2489770
"Batara cinerea",2490001
"Boissonneaua flavescens",2476787
"Boissonneaua jardini",2476786
"Boissonneaua matthewsii",2476790
"Botaurus pinnatus",2480913
"Brotogeris tirica",2479562
"Buteo albicaudatus",2480519
"Buteo magnirostris",5844398
"Butorides striata",2480824
"Cacicus cela",5229832
"Cacicus haemorrhous",5229828
"Cairina moschata",2498283
"Calidris alba",2481748
"Calliphlox amethystina",2476373
"Calothorax lucifer",2476570
"Calypte anna",2476674
"Calypte costae",2476675
"Campephilus robustus",2478568
"Camptostoma obsoletum",2483511
"Campylopterus curvipennis",2476121
"Campylopterus duidae",2476113
"Campylopterus ensipennis",2476128
"Campylopterus falcatus",2476125
"Campylopterus hemileucurus",2476133
"Campylopterus hyperythrus",2476126
"Campylopterus largipennis",2476116
"Campylopterus rufus",2476129
"Campylopterus villaviscensio",2476127
"Campylorhamphus falcularius",2485943
"Campylorhynchus turdinus",5231468
"Caprimulgus hirundinaceus",2496932
"Caprimulgus longirostris",2496877
"Caprimulgus maculicaudus",2496948
"Caprimulgus parvulus",2496920
"Caprimulgus rufus",2496898
"Capsiempis flaveola",2483845
"Caracara plancus",2480989
"Cariama cristata",5228133
"Carpornis cucullata",2486392
"Carpornis melanocephala",2486394
"Caryothraustes canadensis",2490354
"Cathartes aura",2481930
"Celeus flavescens",5228941
"Celeus flavus",5228966
"Celeus torquatus",5228945
"Certhiaxis cinnamomeus",2486060
"Chaetocercus berlepschi",5228578
"Chaetocercus heliodor",5228575
"Chaetocercus jourdanii",5228579
"Chaetocercus mulsanti",5228585
"Chalcostigma herrani",2476805
"Chalcostigma heteropogon",2476811
"Chalybura buffonii",2476774
"Chamaeza campanisona",2490570
"Chamaeza meruloides",2490568
"Charadrius collaris",2480296
"Chelidoptera tenebrosa",5228262
"Chiroxiphia caudata",2487775
"Chiroxiphia pareola",2487766
"Chlorestes notatus",2476087
"Chloroceryle amazona",2475482
"Chloroceryle americana",2475486
"Chloroceryle inda",2475492
"Chlorophanes spiza",5230641
"Chlorophonia cyanea",2488315
"Chlorostilbon alice",2476101
"Chlorostilbon assimilis",2476075
"Chlorostilbon aureoventris",2476095
"Chlorostilbon canivetii",2476059
"Chlorostilbon gibsoni",2476063
"Chlorostilbon melanorhynchus",2476094
"Chlorostilbon mellisugus",2476077
"Chlorostilbon poortmani",2476066
"Chlorostilbon ricordii",2476064
"Chlorostilbon stenurus",2476069
"Chondrohierax uncinatus",2480571
"Chordeiles acutipennis",2497052
"Chordeiles minor",2497035
"Chrysolampis mosquitus",2476346
"Chrysomus ruficapillus",2484099
"Chrysuronia oenone",2476152
"Ciccaba huhula",2497455
"Ciccaba virgata",2497439
"Cichlocolaptes leucophrus",2486001
"Cichlopsis leucogenys",2490933
"Cissopis leverianus",2488854
"Claravis godefrida",2495921
"Claravis pretiosa",2495922
"Clytolaema rubricauda",2476730
"Cnemotriccus fuscatus",2483387
"Coccyzus americanus",2496287
"Coccyzus melacoryphus",2496297
"Cochlearius cochlearius",2480833
"Coeligena bonapartei",2477033
"Coeligena coeligena",2477062
"Coeligena helianthea",2477050
"Coeligena iris",2477043
"Coeligena lutetiae",2477040
"Coeligena prunellei",2477039
"Coeligena torquata",2477053
"Coeligena violifer",2477028
"Coeligena wilsoni",2477042
"Coereba flaveola",2493744
"Colaptes campestris",2478233
"Colaptes melanochloros",2478272
"Colibri coruscans",5228474
"Colibri delphinae",5228485
"Colibri serrirostris",5228484
"Colibri thalassinus",5228478
"Colonia colonus",5229809
"Columba livia",2495414
"Columbina minuta",2495853
"Columbina picui",2495865
"Columbina squammata",2495888
"Columbina talpacoti",2495858
"Conirostrum bicolor",5230618
"Conopophaga lineata",2488933
"Conopophaga melanops",2488935
"Contopus cinereus",5229745
"Coragyps atratus",2481942
"Coryphospingus pileatus",9613080
"Corythopis delalandi",2484068
"Cotinga maculata",5230385
"Cranioleuca pallida",2485325
"Crax blumenbachii",2482179
"Crotophaga ani",2496209
"Crotophaga major",2496210
"Crypturellus noctivagus",2477503
"Crypturellus obsoletus",2477535
"Crypturellus parvirostris",2477558
"Crypturellus soui",2477507
"Crypturellus tataupa",2477522
"Crypturellus variegatus",2477527
"Cyanerpes caeruleus",2488903
