"especie","key"
"Akodon aerosus",2437892
"Akodon cursor",2437913
"Akodon sp.",0
"Alouatta guariba",7262055
"Alouatta sp.",0
"Anoura caudifer",5963040
"Anoura geoffroyi",5963041
"Artibeus cinereus",8234645
"Artibeus fimbriatus",2433268
"Artibeus gnomus",4832191
"Artibeus jamaicensis",2433272
"Artibeus lituratus",2433270
"Artibeus obscurus",2433259
"Artibeus sp.",0
"Blarinomys breviceps",2439095
"Boromys sp.",0
"Brachyteles arachnoides",2436666
"Bradypus sp.",0
"Bradypus torquatus",2436351
"Bradypus tridactylus",2436361
"Bradypus variegatus",2436353
"Cabassous tatouay",2440811
"Callicebus personatus",2436398
"Callithrix aurita",8827576
"Callithrix flaviceps",5219543
"Callithrix geoffroyi",5219539
"Callithrix jacchus",5219542
"Callithrix penicillata",5219541
"Callithrix sp.",0
"Calomys sp.",0
"Calomys tener",2437954
"Caluromys philander",2439999
"Carollia brevicauda",2433177
"Carollia perspicillata",2433176
"Carollia sp.",0
"Cavia aperea",5219704
"Cavia fulgida",5219706
"Cavia sp.",0
"Cebus apella",7477334
"Cerdocyon thous",2434584
"Cerradomys subflavus",5786899
"Cerradomys vivoi",8259094
"Chaetomys subspinosus",2439749
"Chiroderma doriae",2433166
"Chiroderma villosum",2433165
"Chironectes minimus",5219955
"Chrotopterus auritus",5218753
"Chrysocyon brachyurus",2434450
"Coendou spinosus",0
"Conepatus chinga",2434870
"Cuniculus paca",4263039
"Dasyprocta leporina",2437577
"Dasyprocta sp.",0
"Dasypus novemcinctus",2440779
"Dasypus septemcinctus",2440776
"Dasypus sp.",0
"Delomys dorsalis",2438532
"Delomys sp.",0
"Delomys sublineatus",2438531
"Desmodus rotundus",2433298
"Diaemus youngi",2433319
"Didelphis albiventris",2439930
"Didelphis aurita",2439928
"Didelphis marsupialis",2439920
"Diphylla ecaudata",2433173
"Eira barbara",2433716
"Eumops glaucinus",2432991
"Eumops perotis",2432993
"Euphractus sexcinctus",2440799
"Euryoryzomys intermedius",0
"Euryoryzomys russatus",5786860
"Furipterus horrens",2432769
"Galictis cuja",5218901
"Glossophaga soricina",2433194
"Gracilinanus agilis",2439852
"Gracilinanus microtarsus",2439856
"Gracilinanus sp.",0
"Guerlinguetus ingrami",0
"Histiotus velatus",2432301
"Holochilus sp.",0
"Hydrochoerus hydrochaeris",5786666
"Hylaeamys megacephalus",5786888
"Juliomys ossitenuis",7359233
"Juliomys pictipes",4265157
"Kannabateomys amblyonyx",2439718
"Lasiurus blossevillii",5218548
"Lasiurus ega",5218540
"Leontopithecus chrysomelas",2436481
"Leopardus sp.",0
"Leopardus tigrinus",2434930
"Leopardus wiedii",2434950
"Lonchophylla bokermanni",2433226
"Lonchophylla mordax",2433227
"Lonchophylla thomasi",7394262
