"id";"scientific.name";"accepted.name";"family";"taxon.rank";"taxon.status";"search.str";"threat.status";"notes";"original.search"
4083;"Aphelandra blanchetiana (Nees) Hook.";NA;"Acanthaceae";"species";"accepted";"Aphelandra blanchetiana";NA;"";"Aphelandra blanchetiana"
4083;"Aphelandra blanchetiana (Nees) Hook.";NA;"Acanthaceae";"species";"accepted";"Aphelandra blanchetiana";NA;"";"Aphelandra blanchetiana"
4083;"Aphelandra blanchetiana (Nees) Hook.";NA;"Acanthaceae";"species";"accepted";"Aphelandra blanchetiana";NA;"";"Aphelandra blanchetiana"
4083;"Aphelandra blanchetiana (Nees) Hook.";NA;"Acanthaceae";"species";"accepted";"Aphelandra blanchetiana";NA;"";"Aphelandra blanchetiana"
4083;"Aphelandra blanchetiana (Nees) Hook.";NA;"Acanthaceae";"species";"accepted";"Aphelandra blanchetiana";NA;"";"Aphelandra blanchetiana"
4083;"Aphelandra blanchetiana (Nees) Hook.";NA;"Acanthaceae";"species";"accepted";"Aphelandra blanchetiana";NA;"";"Aphelandra blanchetiana"
4083;"Aphelandra blanchetiana (Nees) Hook.";NA;"Acanthaceae";"species";"accepted";"Aphelandra blanchetiana";NA;"";"Aphelandra blanchetiana"
4090;"Aphelandra gigantea (Rizzini) Profice";NA;"Acanthaceae";"species";"accepted";"Aphelandra gigantea";NA;"";"Aphelandra gigantea"
4090;"Aphelandra gigantea (Rizzini) Profice";NA;"Acanthaceae";"species";"accepted";"Aphelandra gigantea";NA;"";"Aphelandra gigantea"
4090;"Aphelandra gigantea (Rizzini) Profice";NA;"Acanthaceae";"species";"accepted";"Aphelandra gigantea";NA;"";"Aphelandra gigantea"
4090;"Aphelandra gigantea (Rizzini) Profice";NA;"Acanthaceae";"species";"accepted";"Aphelandra gigantea";NA;"";"Aphelandra gigantea"
4090;"Aphelandra gigantea (Rizzini) Profice";NA;"Acanthaceae";"species";"accepted";"Aphelandra gigantea";NA;"";"Aphelandra gigantea"
4090;"Aphelandra gigantea (Rizzini) Profice";NA;"Acanthaceae";"species";"accepted";"Aphelandra gigantea";NA;"";"Aphelandra gigantea"
4090;"Aphelandra gigantea (Rizzini) Profice";NA;"Acanthaceae";"species";"accepted";"Aphelandra gigantea";NA;"";"Aphelandra gigantea"
4090;"Aphelandra gigantea (Rizzini) Profice";NA;"Acanthaceae";"species";"accepted";"Aphelandra gigantea";NA;"";"Aphelandra gigantea"
4091;"Aphelandra grazielae Profice";NA;"Acanthaceae";"species";"accepted";"Aphelandra grazielae";NA;"";"Aphelandra grazielae"
4092;"Aphelandra harleyi Wassh.";NA;"Acanthaceae";"species";"accepted";"Aphelandra harleyi";NA;"";"Aphelandra harleyi"
4093;"Aphelandra hirta (Klotzsch) Wassh.";NA;"Acanthaceae";"species";"accepted";"Aphelandra hirta";"LC";"";"Aphelandra hirta"
4093;"Aphelandra hirta (Klotzsch) Wassh.";NA;"Acanthaceae";"species";"accepted";"Aphelandra hirta";"LC";"";"Aphelandra hirta"
4093;"Aphelandra hirta (Klotzsch) Wassh.";NA;"Acanthaceae";"species";"accepted";"Aphelandra hirta";"LC";"";"Aphelandra hirta"
4093;"Aphelandra hirta (Klotzsch) Wassh.";NA;"Acanthaceae";"species";"accepted";"Aphelandra hirta";"LC";"";"Aphelandra hirta"
4093;"Aphelandra hirta (Klotzsch) Wassh.";NA;"Acanthaceae";"species";"accepted";"Aphelandra hirta";"LC";"";"Aphelandra hirta"
4093;"Aphelandra hirta (Klotzsch) Wassh.";NA;"Acanthaceae";"species";"accepted";"Aphelandra hirta";"LC";"";"Aphelandra hirta"
4093;"Aphelandra hirta (Klotzsch) Wassh.";NA;"Acanthaceae";"species";"accepted";"Aphelandra hirta";"LC";"";"Aphelandra hirta"
4093;"Aphelandra hirta (Klotzsch) Wassh.";NA;"Acanthaceae";"species";"accepted";"Aphelandra hirta";"LC";"";"Aphelandra hirta"
4094;"Aphelandra hymenobracteata Profice";NA;"Acanthaceae";"species";"accepted";"Aphelandra hymenobracteata";NA;"";"Aphelandra hymenobracteata"
4097;"Aphelandra longiflora (Lindl.) Profice";NA;"Acanthaceae";"species";"accepted";"Aphelandra longiflora";"LC";"";"Aphelandra longiflora"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
