"DATAREG";"EXTNO";"CODIGO BARRA";"REGISTRO";"GRUPO";"FAMILIA";"GENERO";"ESPECIE";"AUTOR";"INFRAESPEC";"RANKINFRA";"AUTORINFRA";"ORIGEM_NR";"HERBARIO";"DET";"QUALIFIC";"DATADET";"PAIS";"ESTADO";"MUNICIPIO";"LATGRAU";"LATMIN";"LATSEG";"LATDIREC";"LONGGRAU";"LONGMIN";"LONGSEG";"LONGDIREC";"X__1";"LOCALIDADE";"COORDENADA-OBS";"ALTITUDE";"ALTMAIOR";"HABITAT";"VEGETACAO";"COLETOR";"OUTROSCOL";"NUMCOLETOR";"CODIGOCOL";"DATACOL";"DIA";"MES";"ANO";"OBSCOL";"FENOFASE";"NUMDUPLS";"DESTINO";"LEMBRETE";"ANOEMPRESTIMO";"EMPRESTIMO";"NRPARTES";"EM";"PARA";"A_CUIDADOS";"DEVOLUCAO";"OBS";"REMESSA";"vazio";"COLEÇÃO";"TIPIFICAÇÃO";"JR";"PARQUE";"INVENTÁRIO 2001";"INVENTÁRIO";"C EPÍFITAS";"DISTRIBUIÇÃO DE DUPLICATAS";"SUSPEITO-CRIA";"LOCALIDADE DETALHADA";"DUPLICATA DE";"INVENTÁRIO 2010";"INVENTÁRIO 2010 OBS";"INVENTÁRIO 2010 LOCALIZADO"
"14/09/2001";NA;"MBML00008689";14094;"AD";"ACANTHACEAE";"Aphelandra";"blanchetiana";"(Nees) Hook.";NA;NA;NA;NA;NA;"S. Profice/2006";NA;NA;"Brasil";"Espírito Santo";"Santa Maria de Jetibá";20;20;60;"S";40;37;37;"W";NA;"São José do Rio Claro";"Google Earth - aproximação pela localidade próxima";NA;NA;NA;NA;"L. Kollmann";"et al";3642;NA;NA;6;5;2001;"Arbusto 2m na sombra. Brácteas amarronzadas, base verde.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"E";NA;NA;NA;2002-06-06;NA;NA;NA;NA;NA;NA;2010-08-17;NA;TRUE
"08/02/2007";NA;"MBML00009074";28778;"AD";"ACANTHACEAE";"Aphelandra";"blanchetiana";"(Nees) Hook.";NA;NA;NA;NA;NA;"Sheila R. Profice/Agosto-2009";NA;NA;"Brasil";"Espírito Santo";"Marilândia";19;21;13;"S";40;31;1;"W";NA;"Alto Liberdade, propr.: Deuclecio Lorenzini.";"GPS - arredores da coleta";"300";"400";NA;NA;"L. F. S. Magnago";"V. Demuner, T. Cruz e Elias Bausen";916;NA;"19/04/2006";19;4;2006;"Herbácea. Flores amarelas. Bracteas laranja. Mata a beira do corrego.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2010-08-17;NA;TRUE
"06/03/2007";NA;"MBML00009075";28915;"AD";"ACANTHACEAE";"Aphelandra";"blanchetiana";"(Nees) Hook.";NA;NA;NA;NA;NA;"Sheila R. Profice/Agosto-2009";NA;NA;"Brasil";"Espírito Santo";"Cariacica";20;16;22;"S";40;28;45;"W";NA;"Reserva Biológica de Duas Bocas";"Google Earth - Sede da UC";NA;NA;NA;NA;"L. Kollmann";NA;9463;NA;"10/01/2007";10;1;2007;"Planta 60cm na sombra, brácteas vermelhas, flores amarelas, folhas verde escuras com nervuras cinzas.";NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2010-08-17;NA;TRUE
"02/10/2007";NA;"MBML00009071";31537;"AD";"ACANTHACEAE";"Aphelandra";"blanchetiana";"(Nees) Hook.";NA;NA;NA;NA;NA;"L. Kollmann/22-03-2011";NA;NA;"Brasil";"Espírito Santo";"Santa Leopoldina";20;6;7;"S";40;36;58;"W";NA;"Rio das Farinhas";"Google Earth - aproximação pelo local da coleta";NA;NA;NA;NA;"R.R. Vervloet";NA;2638;NA;"03/08/2004";3;8;2004;"Erva 50cm, brácteas de base verde e ápice vinho, folhas verdes com listas brancas. Topo de morro, dossel 18m.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2010-08-17;NA;TRUE
"25/11/2008";NA;"MBML00009070";35592;"AD";"ACANTHACEAE";"Aphelandra";"blanchetiana";"(Nees) Hook.";NA;NA;NA;NA;NA;"A. P. Fontana";NA;2008-07-08;"Brasil";"Espírito Santo";"Santa Leopoldina";20;8;58;"S";40;37;29.2;"W";NA;"Rio das Farinhas, beira da estrada para Luxemburgo, próximo a propr. De Pedro Blanck.";"GPS";"624";NA;NA;NA;"A. P. Fontana";"L. Kollmann & K. A. Brahim";4937;NA;"14/04/2008";14;4;2008;"Terrestre, 60cm, na sombra. Folhas discolores, abaxial roxa e adaxial verde com centro prateado. Bracteas das flores laranjas.";NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2010-08-17;NA;TRUE
"05/05/2010";NA;"MBML00009072";39747;"AD";"ACANTHACEAE";"Aphelandra";"blanchetiana";"(Nees) Hook.";NA;NA;NA;NA;NA;"L. Kollmann/22-03-2011";NA;NA;"Brasil";"Espírito Santo";"Santa Leopoldina";20;2;40.49;"S";40;35;32.42;"W";NA;"Propriedade Família Balbino - Timbuí Seco";NA;NA;NA;NA;NA;"A. M. Assis";"A. P. Fontana, K. F. O. Faria, C. Esgario, Valdemar Pagung";1093;NA;"26/11/2005";26;11;2005;"Planta de 1,5 m. Brácteas vermelhas, flores amarelas. Folhas verdescom rajados brancos. Floresta Ombrófila Densa Montana em Estágio Médio/Avançado de Regeneração - encosta. Interior da Mata.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2010-09-14;NA;TRUE
"05/05/2010";NA;"MBML00009073";39749;"AD";"ACANTHACEAE";"Aphelandra";"blanchetiana";"(Nees) Hook.";NA;NA;NA;NA;NA;"L. Kollmann/22-03-2011";NA;NA;"Brasil";"Espírito Santo";"Santa Leopoldina";20;3;11;"S";40;35;35;"W";NA;"Propriedade Família Balbino - Timbuí Seco - Trilha dos Tropeiros";NA;NA;NA;NA;NA;"A. M. Assis";"A. P. Fontana, K. F. O. Faria, C. Esgario, Valdemar Pagung";1138;NA;"27/11/2005";27;11;2005;"Herbácea. Bráctea vermelha. Flor amarela. Floresta Ombrófila Densa Montana. Preservada. Encosta. Interior da Mata.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2010-09-14;NA;TRUE
NA;NA;"MBML00008690";1753;"AD";"ACANTHACEAE";"Aphelandra";"gigantea";"(Rizzini) Profice";NA;NA;NA;NA;NA;"S.R. Profice/2003";NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;48;20;"S";40;40;53;"W";NA;"São João de Petrópolis, E.A.F.S.T.";"Google Earth - aproximação pelo local da coleta";NA;NA;NA;NA;"W. Boone";NA;597;"BOONE, 597";NA;23;7;1985;"Arbusto rupícola, com flores de cálice verde e corola vermelha, frutos secos, ciófila, encosta.";NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-05-23;NA;NA;"RB";NA;NA;NA;2010-08-17;NA;TRUE
"29/09/1999";NA;"MBML00008696";10638;"AD";"ACANTHACEAE";"Aphelandra";"gigantea";"(Rizzini) Profice";NA;NA;NA;NA;NA;"S.R. Profice/Set./2008";NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;48;20;"S";40;40;53;"W";NA;"São João de Petrópolis, E.A.F.S.T.";"Google Earth - aproximação pelo local da coleta";NA;NA;NA;NA;"W. P. Lopes";"E. Bausen & W. Pizziolo";702;NA;NA;12;5;1999;"Arbusto 1,5m. Cálice verde, corola vermelha. Ambiente úmido.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"E";NA;NA;NA;2002-05-23;NA;NA;"RB";NA;NA;NA;2010-08-17;NA;TRUE
"16/05/2003";NA;"MBML00008692";20590;"AD";"ACANTHACEAE";"Aphelandra";"gigantea";"(Rizzini) Profice";NA;NA;NA;NA;NA;"Sheila R. Profice/Agosto-2009";NA;NA;"Brasil";"Espírito Santo";"Santa Maria de Jetibá";20;10;37;"S";40;55;27;"W";NA;"Pedra do Garrafão";"Google Earth - aproximação pelo local da coleta";NA;NA;NA;NA;"L. Kollmann";"et al";6131;NA;NA;21;4;2003;"Arbusto 1,50 m, na sombra. Flores de base vermelha, ápice laranja.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"E";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2010-08-17;NA;TRUE
"27/11/2006";NA;"MBML00008694";26992;"AD";"ACANTHACEAE";"Aphelandra";"gigantea";"(Rizzini) Profice";NA;NA;NA;NA;NA;"Sheila R. Profice/Agosto-2009";NA;NA;"Brasil";"Espírito Santo";"Águia Branca";18;53;32;"S";40;43;48;"W";NA;"Águas Claras, Escola Agroecológica";"GPS - arredores da coleta";"300";"500";NA;NA;"V. Demuner";"L.F.S Magnago, T. Cruz e Elias Bausen";2389;NA;"06/06/2006";6;6;2006;"Arbusto 2m, botões florais, flores vermelhas. Interior de mata, beira de riacho.";NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"X";NA;NA;2010-08-17;NA;TRUE
"22/12/2006";NA;"MBML00008693";27923;"AD";"ACANTHACEAE";"Aphelandra";"gigantea";"(Rizzini) Profice";NA;NA;NA;NA;NA;"Sheila R. Profice/Agosto-2009";NA;NA;"Brasil";"Espírito Santo";"Águia Branca";18;54;12;"S";40;44;8;"W";NA;"Mata do Assentamento 16 de abril.";"GPS - arredores da coleta";"150";"250";NA;NA;"L. F. S. Magnago";"V. Demuner, T. Cruz e Elias Bausen";1070;NA;"25/07/2006";25;7;2006;"Arbusto 1,5m de alt. Flores vermelhas. Mata.";NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"X";NA;NA;2010-08-17;NA;TRUE
"22/05/2007";NA;"MBML00008691";30021;"AD";"ACANTHACEAE";"Aphelandra";"gigantea";"(Rizzini) Profice";NA;NA;NA;NA;NA;"Sheila R. Profice/Agosto-2009";NA;NA;"Brasil";"Espírito Santo";"Governador Lindenberg";19;8;55;"S";40;27;28;"W";NA;"Morelo, propr.: Fernando Nicolli";"GPS - arredores da coleta";"110";"150";NA;NA;"V. Demuner";"T. Cruz, R. R. Vervloet, M. Belisario e Elias Bausen.";3757;NA;"24/04/2007";24;4;2007;"Arbusto 2m botões florais, flores vermelhas. Borda de mata.";NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2010-08-17;NA;TRUE
