"especie","key"
"""Deuterodon parahyabae""",2353216
"Abudefduf saxatilis",2398623
"Acanthocybium solandri",2374069
"Acanthostracion polygonius",2408186
"Acanthostracion quadricornis",2408197
"Acanthostracion sp.",0
"Acanthurus bahianus",5209181
"Acanthurus chirurgus",5209174
"Acanthurus coeruleus",5209188
"Acanthurus sp.",0
"Acentronichthys leptos",2343628
"Acestrorhynchus britskii",2355564
"Acestrorhynchus falcatus",2355586
"Acestrorhynchus heterolepis",2355583
"Acestrorhynchus lacustris",2355581
"Acestrorhynchus sp.",0
"Achirus lineatus",2408224
"Achirus sp.",0
"Ahlia egmontis",2404878
"Albula vulpes",5204104
"Allocyttus sp.",0
"Alphestes afer",2387797
"Aluterus monoceros",2406708
"Aluterus scriptus",2406721
"Ameiurus nebulosus",2340989
"Anableps anableps",2350683
"Anchoa filifera",2413922
"Anchoa lyolepis",2413866
"Anchoa sp.",0
"Anchoa spinifer",2413899
"Anchoa tricolor",2413986
"Anchovia clupeoides",2413788
"Anchoviella lepidentostole",2414285
"Anchoviella vaillanti",2414291
"Ancistrus brevipinnis",5961432
"Ancistrus multispinis",5961512
"Ancistrus sp.",0
"Anisotremus moricandi",2382604
"Anisotremus sp.",0
"Anisotremus surinamensis",2382615
"Anodus elongatus",5204563
"Anodus sp.",0
"Anoplogaster cornuta",2356711
"Anostomus sp.",0
"Antigonia capros",2389693
"Antigonia combatia",2389686
"Apareiodon affinis",2354816
"Apareiodon hasemani",2354832
"Apareiodon itapicuruensis",2354825
"Apareiodon sp.",0
"Aphyocharax sp.",0
"Apistogramma sp.",0
"Apogon americanus",5211671
"Apogon sp.",0
"Archosargus probatocephalus",2392542
"Archosargus rhomboidalis",2392546
"Argyropelecus sp.",0
"Arius sp.",0
"Aspidoras psammatides",2342552
"Aspidoras raimundi",2342559
"Aspidoras sp.",0
"Aspidoras virgulatus",2342562
"Aspistor luniscutis",2345323
"Astrapogon puncticulatus",2396930
"Astronesthes sp.",0
"Astronotus crassipinnis",2370240
"Astronotus ocellatus",2370243
"Astronotus sp.",0
"Astroscopus y-graecum",2394346
"Astyanax alburnus",7675860
"Astyanax altiparanae",5204260
"Astyanax bimaculatus",5204296
"Astyanax bockmanni",5204357
"Astyanax brevirhinus",5204285
"Astyanax burgerai",5204370
"Astyanax eigenmanniorum",5204293
"Astyanax fasciatus",5204200
"Astyanax giton",5204273
"Astyanax hastatus",5204197
"Astyanax intermedius",5204333
"Astyanax jacuhiensis",5204258
"Astyanax janeiroensis",5204383
"Astyanax lacustris",5204261
"Astyanax microschemos",5204391
"Astyanax parahybae",5204288
"Astyanax rivularis",5204380
"Astyanax scabripinnis",5204198
"Astyanax sp.",0
"Astyanax taeniatus",5204282
"Astyanax vermilion",5204320
"Atherinella brasiliensis",2412202
"Atlantirivulus depressus",7193430
"Atlantoraja castelnaui",2419892
"Aulostomus maculatus",2332595
"Aulostomus strigosus",2332598
"Australoheros capixaba",5961860
"Australoheros muriae",2370770
"Australoheros sp.",0
"Awaous sp.",0
"Awaous tajasica",5208778
"Balistes capriscus",2407107
"Balistes vetula",2407103
"Bascanichthys paulensis",2404911
"Bathygobius soporator",2377096
"Bathypterois phenax",2401343
"Bellator brachychir",5201606
"Bergiaria westermanni",2338756
"Bodianus pulchellus",5209681
"Bodianus rufus",5209687
"Bonapartia pedaliota",5203367
"Bothus lunatus",5213848
"Bothus maculiferus",5213844
"Bothus ocellatus",5213883
"Bothus robinsi",5213869
"Boulengerella cuvieri",2355970
"Brachychalcinus parnaibae",2354042
"Brachychalcinus sp.",0
"Brachyglanis microphthalmus",2343601
"Brachyhypopomus janeiroensis",2401806
"Brycon ferox",2353543
"Brycon orthotaenia",2353453
"Brycon sp.",0
"Bryconamericus iheringii",2352877
"Bryconamericus sp.",0
"Bryconamericus stramineus",2352831
"Bryconamericus tenuis",2352905
"Bryconops affinis",2354267
"Bryconops caudomaculatus",2354277
"Bryconops melanurus",2354274
"Bryconops sp.",0
"Caelorinchus sp.",0
"Calamus mu",5211008
"Calamus penna",5211002
"Callichthys callichthys",5202866
"Callichthys sp.",0
"Cantherhines macrocerus",2406957
"Cantherhines pullus",2406961
"Canthigaster figueiredoi",2407732
"Canthigaster sp.",0
"Caquetaia sp.",0
"Carangoides bartholomaei",5210553
"Carangoides crysos",2390762
"Carangoides ruber",2390989
"Caranx crysos",2390762
"Caranx latus",2390847
"Caranx lugubris",2390836
"Caranx sp.",0
"Cathorops  spixii",2345143
"Caulolatilus chrysops",2389845
"Centromochlus bockmanni",0
"Centromochlus meridionalis",7411122
"Centromochlus sp.",0
"Centropomus parallelus",2369640
"Centropomus sp.",0
"Centropomus undecimalis",2369643
"Centropyge aurantonotus",2396519
"Cephalopholis fulva",2388809
"Cephalopholis jurcifer",0
"Cetengraulis edentulus",2414053
"Cetopsorhamdia iheringi",2343652
"Cetopsorhamdia sp.",0
"Chaetodipterus faber",2394320
"Chaetodipterus sp.",0
"Chaetodon ocellatus",2385448
"Chaetodon sedentarius",2385404
"Chaetodon sp.",0
"Chaetodon striatus",7906686
"Characidium alipioi",2352407
"Characidium bahiense",2352401
"Characidium bimaculatum",2352417
"Characidium clistenesi",8801405
"Characidium declivirostre",2352358
"Characidium deludens",9007209
"Characidium fasciatum",2352362
"Characidium hasemani",2352347
"Characidium helmeri",8684621
"Characidium interruptum",2352375
"Characidium kamakan",9196045
"Characidium litorale",7411052
"Characidium pterostictum",2352378
"Characidium samurai",8357899
"Characidium satoi",9236823
"Characidium sp.",0
"Characidium timbuiense",2352366
"Characidium vidali",2352363
"Characidium xanthopterum",2352344
"Characidium zebra",2352379
"Charax stenopterus",5204514
"Chasmocranus sp.",0
"Cheirodon interruptus",2353776
"Cheirodon stenodon",2352507
"Chilodus sp.",0
"Chilomycterus antillarum",2406483
"Chirocentrodon bleekerianus",2413236
"Chlorophthalmus agassizi",2401401
"Chloroscombrus chrysurus",2391079
"Chromis jubauna",5212165
"Chromis multilineata",5212222
"Cichla kelberi",5208140
"Cichla monochlus",5208154
"Cichla ocellaris",5208153
"Cichla pinima",5208146
"Cichla piquiti",5208145
"Cichla sp.",0
"Cichlasoma amazonarum",2371872
"Cichlasoma facetum",2370771
"Cichlasoma orientale",2371881
"Cichlasoma portalegrensis",2371944
"Cichlasoma sanctifranciscense",2371852
"Cichlasoma sp.",0
"Citharichthys arenaceus",2408734
"Citharichthys macrops",2408741
"Citharichthys sp.",0
"Citharichthys spilopterus",2408720
"Clarias gariepinus",5202793
"Clepticus brasiliensis",5209748
"Colomesus asellus",2407613
"Compsura heterura",2352920
"Conodon nobilis",2382784
"Copionodon lianae",2342970
"Copionodon orthiocarinatus",2342971
"Copionodon pecten",2342969
"Coptodon rendalli",9312593
"Coralliozetus sp.",0
"Corydoras aeneus",2342606
"Corydoras garbei",2342654
"Corydoras lymnades",8092588
"Corydoras multimaculatus",2342793
"Corydoras nattereri",2342704
"Corydoras paleatus",2342720
"Corydoras sp.",0
"Corymbophanes sp.",0
"Coryphopterus glaucofraenum",2377816
"Coryphopterus sp.",0
"Creagrutus britskii",2353682
"Creatochanes sp.",0
"Crenicichla lacustris",2370975
"Crenicichla lepidota",2370934
"Crenicichla menezesi",2370991
"Crenicichla punctata",2370978
"Crenicichla sp.",0
"Cryptotomus roseus",2393551
"Ctenogobius boleosoma",2375376
"Ctenogobius shufeldti",2375361
"Ctenogobius sp.",0
"Ctenogobius stigmaticus",2375371
"Ctenosciaena gracillicirhus",2400066
"Curimata sp.",0
"Curimatella immaculata",2355005
"Curimatella lepidura",2354984
"Curimatella sp.",0
"Cyclichthys sp.",0
"Cyclichthys spinosus",4284297
"Cyclopsetta chittendeni",2408923
"Cyclopsetta fimbriata",2408917
"Cynolebias albipunctatus",2349486
"Cynolebias gilbertoi",2349497
"Cynopotamus sp.",0
"Cynoscion leiarchus",2400004
"Cynoscion microlepidotus",2400036
"Cynoscion sp.",0
"Cynoscion striatus",2399999
"Cynoscion virescens",2400021
"Cyphocharax gilbert",2355131
"Cyphocharax modestus",2355100
"Cyphocharax pinnilepis",5962414
"Cyphocharax sp.",0
"Cyprinus carpio",4286975
"Dactylopterus volitans",2333605
"Dactyloscopus tridigitatus",2390091
"Dasyatis americana",9335213
"Dasyatis guttata",9424579
"Decapterus macarellus",2391064
"Decodon puellaris",5209741
"Delturus brevis",2339549
"Delturus carinotus",2339550
"Deuterodon parahybae",2353216
"Deuterodon sp",0
"Diaphus sp.",0
"Diapterus auratus",2369330
"Diapterus rhombeus",2369323
"Dibranchus atlanticus",2414913
"Diodon holocanthus",5213361
