"especie","key"
"Acanthochelys radiolata",2441986
"Acratosaura mentalis",2450798
"Ameiva ameiva",2472164
"Ameivula nativo",8261566
"Ameivula nigrigula",8347038
"Ameivula ocellifera",7445291
"Amerotyphlops brongersmianus",9353529
"Amphisbaena alba",2472999
"Amphisbaena microcephala",8365289
"Amphisbaena nigricauda",2472981
"Amphisbaena sp.",0
"Anolis fuscoauratus",2467558
"Anolis ortonii",2467651
"Anolis pseudotigrinus",2467065
"Anolis punctatus",2467337
"Anolis sp.",0
"Apostolepis ammodites",2458299
"Arthrosaura reticulata",8342068
"Atractus guentheri",8925129
"Atractus sp.",0
"Boa constrictor",2464899
"Bothrops atrox",5220775
"Bothrops bilineatus bilineatus",7350051
"Bothrops erythromelas",5220756
"Bothrops jararaca",5220785
"Bothrops jararacussu",5220804
"Bothrops leucurus",5220818
"Bothrops moojeni",5220820
"Bothrops neuwiedi",5220834
"Bothrops sazimai",8124621
"Bothrops sp.",0
"Brasiliscincus agilis",8385559
"Caaeteboia amarali",7976624
"Caiman latirostris",5846511
"Calyptommatus nicterus",2450399
"Caparaonia itaiquara",7779885
"Caretta caretta",8894817
"Cercosaura ocellata",8399587
"Chatogekko amazonicus",8415066
"Chelonia mydas",2442225
"Chelonia sp.",0
"Chironius bicarinatus",2457245
"Chironius exoletus",2457302
"Chironius flavolineatus",9522387
"Chironius foveatus",7353477
"Chironius fuscus",2457289
"Chironius laevicollis",2457258
"Chironius quadricarinatus",2457297
"Chironius sp.",0
"Clelia clelia",8876700
"Clelia plumbea",5223234
"Cnemidophorus nativo",8261566
"Cnemidophorus ocellifer",0
"Cnemidophorus sp.",0
"Coleodactylus meridionalis",2446558
"Corallus hortulanus",2464951
"Coronelaps lepidus",7816635
"Crotalus durissus",2444433
"Crotalus durissus terrificus",2444433
"Dactyloa punctata",2467337
"Dermochelys coriacea",2441866
"Diploglossus fasciatus",2468213
"Diploglossus lessonae",2468217
"Diploglossus sp.",0
"Dipsas albifrons",5223476
"Dipsas indica",5223420
"Dipsas neivai",5223474
"Dipsas sazimai",8397175
"Dipsas sp.",0
"Dipsas variegata",5223415
"Dryadosaura nordestina",7817889
"Drymoluber dichrous",2452563
"Echinanthera bilineata",2452064
"Echinanthera melanostigma",2458769
"Echinanthera persimilis",2452070
"Echinanthera sp.",0
"Ecpleopus gaudichaudii",2450401
"Elapomorphus quinquelineatus",5223026
"Elapomorphus wuchereri",5223025
"Enyalius bilineatus",5226338
"Enyalius boulengeri",5816217
"Enyalius brasiliensis",5226340
"Enyalius perditus",5226339
"Enyalius pictus",5226344
"Enyalius sp.",0
"Epicrates cenchria",2465228
"Eretmochelys imbricata",8841716
"Erythrolamprus aesculapii",2456090
"Erythrolamprus aesculapii venustissimus",2456090
"Erythrolamprus miliaris",7522971
"Erythrolamprus poecilogyrus",7878891
"Erythrolamprus reginae",8275767
"Erythrolamprus sp.",0
"Erythrolamprus typhlus",8151938
"Glaucomastix cyanura",0
"Gonatodes humeralis",2447631
"Gymnodactylus darwinii",6158344
"Gymnodactylus geckoides",2446846
"Gymnodactylus sp.",0
"Helicops carinicaudus",2457673
"Helicops leopardinus",2457694
"Hemidactylus brasilianus",5960018
"Hemidactylus mabouia",5959942
"Heterodactylus imbricatus",5222272
"Hydromedusa maximiliani",2442142
"Iguana iguana",2459658
"Imantodes cenchoa",8960303
"Kentropyx calcarata",2471983
"Lachesis muta",8486323
"Leposoma annectans",8335992
"Leposoma scincoides",5222293
"Leposoma sp.",0
"Leposternon infraorbitale",7756018
"Leposternon microcephalum",0
"Leposternon sp.",0
"Leposternon wuchereri",7421048
"Leptodeira annulata",2454954
"Leptophis ahaetulla",8950906
"Leptophis ahaetulla liocercus",8950906
"Leptotyphlops salgueiroi",7687638
"Leptotyphlops sp.",0
"Liolaemus lutzae",2460423
"Loxopholis osvaldoi",9330647
"Loxopholis percarinatum",9510823
"Lygophis amarali",0
"Lygophis meridionalis",7649402
"Lygophis miliaris",0
"Lygophis poecilogyrus",0
"Lygophis reginae",0
"Lygophis sp.",0
"Mabuya agilis",0
"Mabuya macrorhyncha",7531921
"Mabuya sp.",0
"Mastigodryas bifossatus",8787025
"Mastigodryas boddaerti",2456203
"Micrablepharus maximiliani",5222394
"Micrurus corallinus",5227011
"Micrurus decoratus",5226994
"Micrurus ibiboboca",5226842
"Micrurus lemniscatus",5226973
"Micrurus lemniscatus carvalhoi",5226973
"Não_identificada",0
"Norops ortonii",2467651
"Notomabuya frenata",7831835
